No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1244,Seater,,,Semi-Gloss Polish,FALSE,,PJA.32.11,STOOL OCCASIONAL,35 Cm + 40 Cm +  Cm,141,1,https://drive.google.com/uc?export=view&id=1bOkEL6B-BZKw0x5IiqHuFmEva8LYw3gY
1245,Seater,,,Semi-Gloss Polish,FALSE,,PJA.32.12,STOOL OCCASIONAL,35 Cm + 34 Cm + 45 Cm,141,1,https://drive.google.com/uc?export=view&id=13VQbBjHIp4_9ppuLaLZABrP3o71knCaX
1246,,,,Semi-Gloss Polish,FALSE,,PJA.32.13,STOOL FULL POLISH,36 Cm + 32 Cm + 46 Cm,,0,https://drive.google.com/uc?export=view&id=1o-e7eYnDENjjjHEPu8rdpHf4e7_JRXt5
1247,,,,Semi-Gloss Polish,FALSE,,PJA.32.14,STOOL FULL POLISH,36 Cm + 31 Cm + 45 Cm,96,0,https://drive.google.com/uc?export=view&id=1O1kGfOytcdWgbIQQ7w7K9Mw8Iorh9cn3
1248,Seater,,,Semi-Gloss Polish,FALSE,,PJA.32.15,STOOL FULL POLISH,34 Cm + 32 Cm + 40 Cm,90,1,https://drive.google.com/uc?export=view&id=18NEozE2Y8MCVBJvQYMkzaDg1lPdZgrM1
1249,,,,Semi-Gloss Polish,FALSE,,PJA.32.16,STOOL FULL POLISH,29 Cm + 28 Cm + 40 Cm,64,0,https://drive.google.com/uc?export=view&id=1gtxWEbkxRtDOti00Yc0uDD0XCWGkR1uI
1250,,,,Semi-Gloss Polish,FALSE,,PJA.32.17,STOOL FULL POLISH,35 Cm + 32 Cm + 40 Cm,88,0,https://drive.google.com/uc?export=view&id=13PWskkqq3ErK02NgapbPmbirg85VsFqL
1251,,,,Semi-Gloss Polish,FALSE,,PJA.32.18,STOOL FULL POLISH,35 Cm + 26 Cm + 40 Cm,74,0,https://drive.google.com/uc?export=view&id=1OgFfVcgpgKl9-j81D6rldWzY5aLgLPqP
1252,,,,Semi-Gloss Polish,FALSE,,PJA.32.19,STOOL FULL POLISH,33 Cm + 31 Cm + 40 Cm,80,0,https://drive.google.com/uc?export=view&id=1sgRW8M6_4g3sdb36hNJYIADiKYFIZDjW
1253,,,,Semi-Gloss Polish,FALSE,,PJA.32.20,STOOL FULL POLISH,32 Cm + 28 Cm + 40 Cm,67,0,https://drive.google.com/uc?export=view&id=1iaxiCnQ_QZDRzJcVwuxKEQq-xLlf3nlW
1254,,,,Semi-Gloss Polish,FALSE,,PJA.32.21,STOOL FULL POLISH,35 Cm + 31 Cm + 45 Cm,86,0,https://drive.google.com/uc?export=view&id=1wQspZEp3m-kCkiFspXsdR2_IP9K8loSs
1255,Seater,,,Semi-Gloss Polish,FALSE,,PJA.32.22,STOOL FULL POLISH,38 Cm + 37 Cm + 45 Cm,118,1,https://drive.google.com/uc?export=view&id=1I1Y8lltCpFlZdKqXLha9Yy01KzFIzxHU
1256,,,,Semi-Gloss Polish,FALSE,,PJA.32.23,STOOL FULL POLISH,34 Cm + 29 Cm + 40 Cm,81,0,https://drive.google.com/uc?export=view&id=1Gu3c_x7l_BrUSXeLjx46V3q_sNtMR_sn
1257,Living Room,,,Semi-Gloss Polish,FALSE,,PJA.32.26,SIGNATURE COFFEE TABLE,167 Cm + 142 Cm + 30 Cm,677,1,https://drive.google.com/uc?export=view&id=18NWJwSKIgXM1ROlV7kw3o9Im-m5_PauU
1258,Furniture,,,Semi-Gloss Polish,FALSE,,PJA.32.28,BENCH,50 Cm + 40 Cm + 320 Cm,1300,1,https://drive.google.com/uc?export=view&id=16HHwSQkKSgPDEcjxuKmIgB6dykNFf9Jg
1259,,,,Semi-Gloss Polish,FALSE,,PJA.32.30,BASE LEG,57 Cm + 57 Cm + 70 Cm,10,0,https://drive.google.com/uc?export=view&id=1-2dDWLkBRIsvbOhDtz7SvbQoa1YMQVHw
